Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs
Kale,110,45.0,4,1,0.0,0.9,8.0
Kohlrabi,140,40.0,2,0,0.0,1.5,9.0
Lamb chop broiled,115,480.0,24,35,33.0,0.0,0.0
Lambs quarters steamed,150,48.0,5,0,0.0,3.2,7.0
Lard,110,992.0,0,110,92.0,0.0,0.0
Leg roasted,86,314.0,20,14,14.0,0.0,0.0
Lemon juice,125,30.0,0,0,0.0,0.0,10.0
Lemon meringue,120,300.0,4,12,10.0,0.1,45.0
Lemonade concentratefrozen,220,430.0,0,0,0.0,0.0,112.0
Lentils,200,212.0,15,0,0.0,2.4,38.0
Lettuce,100,14.0,1,0,0.0,0.5,2.0
Lima,160,140.0,8,0,0.0,3.0,24.0
Lima dry cooked,192,260.0,16,0,0.0,2.0,48.0
Limeade concentrate frozen,218,405.0,0,0,0.0,0.0,108.0
Lobster,100,92.0,18,1,0.0,0.0,0.0
Macaroni,140,155.0,5,1,0.0,0.1,32.0
Mackerel,85,155.0,18,9,0.0,117.5,0.0
Margarine,112,806.0,0,91,76.0,0.0,0.0
Margarine 2 pat or,14,100.0,0,11,9.0,0.0,0.0
Marshmallows,30,98.0,1,0,0.0,0.0,23.0
Mayonnaise,15,110.0,0,12,5.0,0.0,0.0
Milk chocolate,56,290.0,2,6,6.0,0.2,44.0
Milk skim,984,360.0,36,0,0.0,0.0,52.0
Mince,135,340.0,3,9,8.0,0.7,62.0
Molasses,20,45.0,0,0,0.0,8.0,11.0
Muffins,48,135.0,4,5,4.0,0.0,19.0
Mushrooms canned,120,12.0,2,0,0.0,0.0,4.0
Mustard greens,140,30.0,3,0,0.0,1.2,6.0
Navy baked with pork,200,250.0,11,6,6.0,2.0,37.0
Nectar or juice,250,140.0,1,0,0.0,2.0,36.0
Noodle,250,115.0,6,4,3.0,0.2,13.0
Noodles,160,200.0,7,2,2.0,0.1,37.0
Oatmeal,236,150.0,5,3,2.0,4.6,26.0
Okra,100,32.0,1,0,0.0,1.0,7.0
Olive oil,14,125.0,0,14,3.0,0.0,0.0
Olives large,65,72.0,1,10,9.0,0.8,3.0
OlivesRipe,65,105.0,1,13,12.0,1.0,1.0
Onions,210,80.0,2,0,0.0,1.6,18.0
Orange juice,250,112.0,2,0,0.0,0.2,25.0
"Oranges 3"" diameter",180,60.0,2,0,0.0,1.0,16.0
Oyster stew,85,125.0,19,6,1.0,0.0,0.0
Oysters,230,231.0,232,233,234.0,235.0,236.0
"Pancakes 4"" diam.",108,250.0,7,9,0.0,0.1,28.0
Papaya,200,75.0,1,0,0.0,1.8,18.0
Parsley,50,2.0,0,0,0.0,0.0,0.0
Parsnips,155,95.0,2,1,0.0,3.0,22.0
Peaches,257,200.0,1,0,0.0,1.0,52.0
Peanut butter,50,300.0,12,25,17.0,0.9,9.0
Peanut butter natural,50,284.0,13,24,10.0,0.9,8.0
Peanuts,50,290.0,13,25,16.0,1.2,9.0
Pears,255,195.0,1,0,0.0,2.0,50.0
Peas,100,66.0,3,0,0.0,0.1,13.0
Pecans,52,343.0,5,35,25.0,1.1,7.0
Peppers Raw green sweet,100,25.0,1,0,0.0,1.4,6.0
Peppers canned,38,10.0,0,0,0.0,0.0,2.0
Peppers with beef and crumbs,150,255.0,19,9,8.0,1.0,24.0
Persimmons,125,75.0,1,0,0.0,2.0,20.0
Pineapple,122,95.0,0,0,0.0,0.4,26.0
Pineapple Crushed,260,205.0,1,0,0.0,0.7,55.0
Pineapple juice,250,120.0,1,0,0.0,0.2,32.0
"Pizza 14"" diam.",75,180.0,8,6,5.0,0.0,23.0
Plain with no icing,55,180.0,4,5,4.0,0.0,31.0
Plums,256,185.0,1,0,0.0,0.7,50.0
Popcorn salted,28,152.0,3,7,2.0,0.5,20.0
Pork chop 1 thick,100,260.0,16,21,18.0,0.0,0.0
Pork roast,85,310.0,21,24,21.0,0.0,0.0
Pork sausage,100,475.0,18,44,40.0,0.0,0.0
Pot-pie,227,480.0,18,28,25.0,0.0,32.0
Potato chips,20,110.0,1,7,4.0,0.0,10.0
Potatoes Mashed with milk and butter,200,230.0,4,12,11.0,0.7,28.0
Potatoes baked,100,100.0,2,0,0.0,0.5,22.0
Potatoes pan-tried,100,268.0,4,14,6.0,0.4,33.0
Powdered milk,103,515.0,27,28,24.0,0.0,39.0
Processed cheese,28,105.0,7,9,8.0,0.0,0.0
Prune juice,240,170.0,1,0,0.0,0.7,45.0
Prunes,270,300.0,3,1,0.0,0.8,81.0
Puddings Sugar,200,770.0,0,0,0.0,0.0,199.0
Puffed rice,14,55.0,0,0,0.0,0.0,12.0
Puffed wheat presweetened,28,105.0,1,0,0.0,0.6,26.0
Pumpkin Pie,130,265.0,5,12,11.0,8.0,34.0
Radishes,50,10.0,0,0,0.0,0.3,2.0
Raisins,88,230.0,2,0,0.0,0.7,82.0
Raspberries,100,100.0,0,0,0.0,2.0,25.0
Raw,149,54.0,0,0,0.0,1.9,12.0
Raw 2 by 2 1/2,150,30.0,1,0,0.0,0.6,6.0
"Raw 2"" diameter",60,30.0,0,0,0.0,0.2,7.0
Raw 3 by 2V,182,100.0,1,1,0.0,2.0,25.0
Raw diced,140,75.0,1,0,0.0,0.6,19.0
Raw grated,110,45.0,1,0,0.0,1.2,10.0
Raw green,50,22.0,0,0,0.0,1.0,5.0
Raw red,100,57.0,0,0,0.0,5.0,14.0
Red kidney,260,230.0,15,1,0.0,2.5,42.0
Rhubarb sweetened,270,385.0,1,0,0.0,1.9,98.0
Rice,208,748.0,15,3,0.0,1.2,154.0
Rice flakes,30,115.0,2,0,0.0,0.1,26.0
Rice polish,50,132.0,6,6,0.0,1.2,28.0
Roast,85,305.0,13,14,13.0,0.0,0.0
Roast beef,85,390.0,16,36,35.0,0.0,0.0
Roasted chicken,100,290.0,25,20,16.0,0.0,0.0
Rolls,50,411.0,3,12,11.0,0.1,23.0
Root beer,346,140.0,0,0,0.0,0.0,35.0
Roquefort type,28,105.0,6,9,8.0,0.0,0.0
Rutabagas,100,32.0,0,0,0.0,1.4,8.0
Rye,23,55.0,2,1,1.0,0.1,12.0
Safflower seed oil,14,125.0,0,14,3.0,0.0,0.0
Salmon,85,120.0,17,5,1.0,0.0,0.0
Sardines,85,180.0,22,9,4.0,0.0,0.0
Sauerkraut,150,32.0,1,0,0.0,1.2,7.0
Scalloped with cheese potatoes,100,145.0,6,8,7.0,0.4,14.0
Scallops,100,104.0,18,8,0.0,0.0,10.0
Sesame seeds,50,280.0,9,24,13.0,3.1,10.0
Shad,85,170.0,20,10,0.0,0.0,0.0
Shoulder braised,85,285.0,18,23,21.0,0.0,0.0
Shredded wheat biscuit,28,100.0,3,1,0.0,0.7,23.0
Shrimp,85,110.0,23,1,0.0,0.0,0.0
Soda 2 1/2 square,11,45.0,1,1,0.0,0.0,8.0
Soybeans,200,260.0,22,11,0.0,3.2,20.0
Spaghetti with meat sauce,250,285.0,13,10,6.0,0.5,35.0
Spanish rice,250,217.0,4,4,0.0,1.2,40.0
Spinach,100,26.0,3,0,0.0,1.0,3.0
Split cooked peas,100,115.0,8,0,0.0,0.4,21.0
Split-pea soup,250,147.0,8,3,3.0,0.5,25.0
Sponge cake,40,115.0,3,2,2.0,0.0,22.0
Squash,210,35.0,1,0,0.0,0.6,8.0
Stalk raw,40,5.0,1,0,0.0,0.3,1.0
Steak,85,330.0,20,27,25.0,0.0,0.0
Steak lean as round,85,220.0,24,12,11.0,0.0,0.0
Steamed cabbage,170,40.0,2,0,0.0,1.3,9.0
Steamed potatoes before peeling,100,80.0,2,0,0.0,0.4,19.0
Stewed or canned,240,100.0,0,0,0.0,2.0,26.0
Strawberries,227,242.0,1,0,0.0,1.3,60.0
Strips from raw,50,20.0,0,0,0.0,0.5,5.0
Sunflower seeds,50,280.0,12,26,7.0,1.9,10.0
Sweet potatoes,110,155.0,2,1,0.0,1.0,36.0
Swiss,28,105.0,7,8,7.0,0.0,0.0
Swordfish,100,180.0,27,6,0.0,0.0,0.0
Syrup,40,100.0,0,0,0.0,0.0,25.0
Table (12.2% alcohol),120,100.0,0,0,0.0,0.0,5.0
Tangerines,114,40.0,1,0,0.0,1.0,10.0
Tapioca cream pudding,250,335.0,10,10,9.0,0.0,42.0
Tea,230,4.0,0,0,0.0,0.0,1.0
Thousand Island sauce,15,75.0,0,8,3.0,0.0,1.0
Tomato catsup,17,15.0,0,0,0.0,0.0,4.0
Tomato juice,240,50.0,2,0,0.0,0.6,10.0
Tomato soup,245,175.0,6,7,6.0,0.5,22.0
Tomatoes,240,50.0,2,0,0.0,1.0,9.0
Tuna,85,170.0,25,7,3.0,0.0,0.0
Turkey,100,265.0,27,15,0.0,0.0,0.0
Turnip greens,145,45.0,4,1,0.0,1.8,8.0
Turnips steamed,155,40.0,1,0,0.0,1.8,9.0
Veal,85,185.0,23,9,8.0,0.0,0.0
Vegetable,250,80.0,4,2,2.0,0.0,14.0
Waffles,75,240.0,8,9,1.0,0.1,30.0
Walnuts,50,325.0,7,32,7.0,1.0,8.0
Watercress stems raw,50,9.0,1,0,0.0,0.3,1.0
Watermelon,925,120.0,2,1,0.0,3.6,29.0
Wheat (all purpose),110,400.0,12,1,0.0,0.3,84.0
Wheat (whole),120,390.0,13,2,0.0,2.8,79.0
Wheat cooked,200,275.0,12,1,0.0,4.4,35.0
Wheat germ,68,245.0,17,7,3.0,2.5,34.0
Wheat meal cereal unrefined,30,103.0,4,1,0.0,0.7,25.0
"Wheat pancakes 4"" diam.",108,250.0,7,9,0.0,0.1,28.0
Wheat-germ cereal toasted,65,260.0,20,7,3.0,2.5,36.0
White,191,692.0,14,0,0.0,0.3,150.0
White 20 slices or,454,1225.0,39,15,12.0,9.0,229.0
Whole-wheat,454,1100.0,48,14,10.0,67.5,216.0
Whole-wheat,23,55.0,2,1,0.0,0.31,11.0
Wines,120,164.0,0,0,0.0,0.0,9.0
Winter mashed,200,95.0,4,0,0.0,2.6,23.0
Yolks,34,120.0,6,10,8.0,0.0,0.0
chicken,85,185.0,23,9,7.0,0.0,0.0
chicken soup,250,75.0,4,2,2.0,0.0,10.0
coconut sweetened,50,274.0,1,20,19.0,2.0,26.0
cooked or canned,200,170.0,5,0,0.0,1.6,41.0
figs Canned with syrup ,115,130.0,1,0,0.0,1.0,32.0
heated peas,100,53.0,3,0,0.0,1.0,10.0
of refined flour,38,115.0,3,2,2.0,0.0,20.0
or whipping,119,430.0,2,44,27.0,1.0,3.0
preserves,20,55.0,0,0,0.0,0.0,14.0
roasted and salted,70,439.0,13,40,31.0,1.8,13.0
skim instant,85,290.0,30,0,0.0,0.0,42.0
skim non-instant,85,290.0,30,0,0.0,1.0,42.0
skim. milk,250,128.0,18,4,3.0,1.0,13.0
table blends sugar,40,110.0,0,0,0.0,0.0,29.0
uncreamed,225,195.0,38,0,0.0,0.0,6.0
whole-wheat,40,102.0,4,1,0.0,0.1,20.0
with tomatoes and cheese,250,210.0,6,5,3.0,0.5,36.0
